# primary acc	English common name	scientific name	NCBI assembly ID	NCBI taxId
GCA_009769605.1	Abyssinian ground hornbill	Bucorvus abyssinicus	GCA_009769605.1_bBucAby1.pri	153643
GCA_043250625.1	Acadian redfish	Sebastes fasciatus	GCA_043250625.1_fSebFas1.pri	394691
GCA_964252035.1	Aegean wall lizard	Podarcis erhardii	GCA_964252035.1_rPodErh1.hap1.1	140042
GCF_027172205.1	Aeolian wall lizard	Podarcis raffonei	GCF_027172205.1_rPodRaf1.pri	65483
GCF_037176945.1	African coelacanth	Latimeria chalumnae	GCF_037176945.1_fLatCha1.pri	7897
GCF_030014295.1	African elephant	Loxodonta africana	GCF_030014295.1_mLoxAfr1.hap2	9785
GCA_040955705.1	African hunting dog	Lycaon pictus	GCA_040955705.1_LycPic1.final.hap2	9622
GCA_037157525.1	Alvarez's mastiff bat	Molossus alvarezi 	GCA_037157525.1_mMolAlv2.hap1	1552295
GCA_046562895.1	Amazon manatee	Trichechus inunguis	GCA_046562895.1_mTriInu1_haplotype_2	9777
GCA_036417435.1	Amazon river dolphin	Inia geoffrensis	GCA_036417435.1_mIniGeo1.hap1	9725
GCF_030867095.1	American alligator	Alligator mississippiensis	GCF_030867095.1_rAllMis1	8496
GCA_009819775.1	American flamingo	Phoenicopterus ruber	GCA_009819775.1_bPhoRub2.pri	9218
GCA_964106545.1	American mink	Neogale vison	GCA_964106545.1_mNeoVis2.hap1.1	452646
GCF_030435755.1	American pika	Ochotona princeps	GCF_030435755.1_mOchPri1.hap1	9978
GCF_018492685.1	American shad	Alosa sapidissima	GCF_018492685.1_fAloSap1.pri	34773
GCA_965113315.1	Andalusian wall lizard	Podarcis vaucheri	GCA_965113315.1_rPodVau1.hap1.1	140051
GCA_043748645.1	Angolan free-tailed bat	Mops condylurus	GCA_043748645.1_ASM4374864v1	258863
GCF_003957555.1	Anna's hummingbird	Calypte anna	GCF_003957555.1_bCalAnn1_v1.p	9244
GCA_963971535.1	Antarctic jonasfish	Notolepis coatsi	GCA_963971535.1_fNotCoa1.1	948063
GCA_951216825.1	Antarctic lanternfish	Electrona antarctica	GCA_951216825.1_fEleAnt2.1	206093
GCA_036426135.1	Arabian horse	Equus caballus	GCA_036426135.1_mEquCab1.pat	9796
GCA_036784965.1	Arctic char	Salvelinus alpinus	GCA_036784965.1_fSalAlp2_p1.0	152111
GCA_045843805.1	Arctic ground squirrel	Urocitellus parryii	GCA_045843805.1_mUroPar1.hap1	9999
GCA_946808225.1	Aristotle's catfish	Silurus aristotelis	GCA_946808225.1_fSilAri3.1	933932
GCF_024166365.1	Asian elephant	Elephas maximus indicus	GCF_024166365.1_mEleMax1_primary_haplotype	99487
GCF_902167405.1	Atlantic cod	Gadus morhua	GCF_902167405.1_gadMor3.0	8049
GCA_964187855.1	Atlantic hagfish	Myxine glutinosa	GCA_964187855.1_kmMyxGlut1.1	7769
GCF_009819705.1	Atlantic halibut	Hippoglossus hippoglossus	GCF_009819705.1_fHipHip1.pri	8267
GCA_905171665.2	Atlantic horse mackerel	Trachurus trachurus	GCA_905171665.2_fTraTra1.2	36212
GCF_963691925.1	Atlantic mackerel	Scomber scombrus	GCF_963691925.1_fScoSco1.1	13677
GCF_030028105.1	Atlantic manta ray	Mobula birostris	GCF_030028105.1_sMobBir1.hap1	1983395
GCA_048628825.1	Atlantic silverside	Menidia menidia	GCA_048628825.1_ASM4862882v1	238744
GCF_030144855.1	Atlantic stingray	Hypanus sabinus	GCF_030144855.1_sHypSab1.hap1	79690
GCA_964270905.1	Atlantic white-sided dolphin	Lagenorhynchus acutus	GCA_964270905.1_mLagAcu1.hap1.1	3371109
GCA_965152275.1	Australian flatback sea turtle	Natator depressus	GCA_965152275.1_rNatDep2.hap1	27790
GCA_042242135.1	Australian herring	Arripis georgiana	GCA_042242135.1_fArrGeo1.hap2	3352246
GCA_040894355.2	Bellinger river turtle	Myuchelys georgesi	GCA_040894355.2_rMyuGeo1.pri	1041117
