# accession	asmId	taxId	vgpClade	Scientific_name	UCSC_common_name	NCBI_taxon_string
GCA_002915635.3	GCA_002915635.3_AmbMex60DD	8296	vertebrate	Ambystoma_mexicanum	axolotl (DD151 2021)	Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amphibia;Batrachia;Caudata;Salamandroidea;Ambystomatidae;Ambystoma;
GCA_003369685.2	GCA_003369685.2_UOA_Angus_1	30522	mammals	Bos_indicus_x_Bos_taurus	hybrid cattle (Angus x Brahman F1 Angus haplotype 2018)	Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Mammalia;Theria;Eutheria;Boreoeutheria;Laurasiatheria;Artiodactyla;Ruminantia;Pecora;Bovidae;Bovinae;Bos;
GCA_003957565.4	GCA_003957565.4_bTaeGut1.4.pri	59729	birds	Taeniopygia_guttata	zebra finch (v1.4 Blue55 primary hap 2021 genbank)	Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Sauropsida;Sauria;Archelosauria;Archosauria;Dinosauria;Saurischia;Theropoda;Coelurosauria;Aves;Neognathae;Neoaves;Telluraves;Australaves;Passeriformes;Passeroidea;Estrildidae;Estrildinae;Taeniopygia;
GCA_008822115.3	GCA_008822115.3_bTaeGut2.mat.v3	59729	birds	Taeniopygia_guttata	zebra finch (v3 Blue55 maternal 2020)	Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Sauropsida;Sauria;Archelosauria;Archosauria;Dinosauria;Saurischia;Theropoda;Coelurosauria;Aves;Neognathae;Neoaves;Telluraves;Australaves;Passeriformes;Passeroidea;Estrildidae;Estrildinae;Taeniopygia;
GCA_011078405.1	GCA_011078405.1_mCalJac1.mat	9483	primates	Callithrix_jacchus	white-tufted-ear marmoset (maternal 2020)	Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Mammalia;Theria;Eutheria;Boreoeutheria;Euarchontoglires;Primates;Haplorrhini;Simiiformes;Platyrrhini;Cebidae;Callitrichinae;Callithrix;Callithrix;
GCA_011100555.2	GCA_011100555.2_mCalJa1.2.pat.X	9483	primates	Callithrix_jacchus	white-tufted-ear marmoset (v1.2 2021 genbank)	Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Mammalia;Theria;Eutheria;Boreoeutheria;Euarchontoglires;Primates;Haplorrhini;Simiiformes;Platyrrhini;Cebidae;Callitrichinae;Callithrix;Callithrix;
GCA_011762515.1	GCA_011762515.1_mTurTru1.pat	9739	mammals	Tursiops_truncatus	common bottlenose dolphin (paternal 2020)	Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Mammalia;Theria;Eutheria;Boreoeutheria;Laurasiatheria;Artiodactyla;Whippomorpha;Cetacea;Odontoceti;Delphinidae;Tursiops;
GCA_012275275.1	GCA_012275275.1_bMelUnd1.pat	13146	birds	Melopsittacus_undulatus	budgerigar (paternal hap 2020)	Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Sauropsida;Sauria;Archelosauria;Archosauria;Dinosauria;Saurischia;Theropoda;Coelurosauria;Aves;Neognathae;Neoaves;Telluraves;Australaves;Psittaciformes;Psittaculidae;Melopsittacus;
GCA_013358815.1	GCA_013358815.1_fEleEle1.pri	8005	fish	Electrophorus_electricus	electric eel (primary hap 2020 genbank)	Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Actinopterygii;Actinopteri;Neopterygii;Teleostei;Osteoglossocephalai;Clupeocephala;Otomorpha;Ostariophysi;Otophysi;Characiphysae;Gymnotiformes;Gymnotoidei;Gymnotidae;Electrophorus;
GCA_016695395.2	GCA_016695395.2_mHomSap3.mat	9606	primates	Homo_sapiens	human (mHomSap3 WGS:JACSEX01 2021)	Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Mammalia;Theria;Eutheria;Boreoeutheria;Euarchontoglires;Primates;Haplorrhini;Simiiformes;Catarrhini;Hominoidea;Hominidae;Homininae;Homo;
GCA_016700455.2	GCA_016700455.2_mHomSap3.pat	9606	primates	Homo_sapiens	human (WGS:JACSEW01 2021 alternate hap)	Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Mammalia;Theria;Eutheria;Boreoeutheria;Euarchontoglires;Primates;Haplorrhini;Simiiformes;Catarrhini;Hominoidea;Hominidae;Homininae;Homo;
GCA_017639645.1	GCA_017639645.1_bFalNau1.mat	148594	birds	Falco_naumanni	lesser kestrel (alternate hap 2021)	Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Sauropsida;Sauria;Archelosauria;Archosauria;Dinosauria;Saurischia;Theropoda;Coelurosauria;Aves;Neognathae;Neoaves;Telluraves;Australaves;Falconiformes;Falconidae;Falco;
GCA_020740715.1	GCA_020740715.1_mJacJac1.pat.decon	51337	mammals	Jaculus_jaculus	lesser Egyptian jerboa (alternate hap 2021)	Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Mammalia;Theria;Eutheria;Boreoeutheria;Euarchontoglires;Glires;Rodentia;Myomorpha;Dipodoidea;Dipodidae;Dipodinae;Jaculus;
GCA_020745765.1	GCA_020745765.1_sHemOce1.mat.decon	170820	vertebrate	Hemiscyllium_ocellatum	epaulette shark (alternate hap sHemOce1 2021)	Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Chondrichthyes;Elasmobranchii;Selachii;Galeomorphii;Galeoidea;Orectolobiformes;Hemiscylliidae;Hemiscyllium;
GCA_020801775.1	GCA_020801775.1_bPorHoc1.pat.decon	439704	birds	Porphyrio_hochstetteri	South Island takahe (alternate hap 2021)	Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Sauropsida;Sauria;Archelosauria;Archosauria;Dinosauria;Saurischia;Theropoda;Coelurosauria;Aves;Neognathae;Neoaves;Gruiformes;Rallidae;Porphyrio;
GCA_020826835.1	GCA_020826835.1_mDicBic1.pat.decon	77932	mammals	Diceros_bicornis_minor	black rhinoceros (alternate hap 2021)	Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Mammalia;Theria;Eutheria;Boreoeutheria;Laurasiatheria;Perissodactyla;Rhinocerotidae;Diceros;Dicerosbicornis;
GCA_022682395.2	GCA_022682395.2_HLdesRot8B.1	9430	mammals	Desmodus_rotundus	common vampire bat (v2 HL8 alternate hap 2022 genbank)	Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Mammalia;Theria;Eutheria;Boreoeutheria;Laurasiatheria;Chiroptera;Yangochiroptera;Phyllostomidae;Desmodontinae;Desmodus;
GCA_024206055.2	GCA_024206055.2_GGswu	9031	birds	Gallus_gallus	chicken (Huxu 2023)	Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Sauropsida;Sauria;Archelosauria;Archosauria;Dinosauria;Saurischia;Theropoda;Coelurosauria;Aves;Neognathae;Galloanserae;Galliformes;Phasianidae;Phasianinae;Gallus;
